Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites_Reservasi_Domestic,Chrome 148.0.7778.168,,,22-05-2026 10:42:58,22-05-2026 10:44:52,1m - 53.479s,PASSED
,,,,,,,
Test Cases/TC01 - Login,Chrome 148.0.7778.168,,,22-05-2026 10:42:58,22-05-2026 10:43:29,30.714s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,22-05-2026 10:42:59,22-05-2026 10:43:01,2.594s,PASSED
"navigateToUrl(""https://app.nci.co.id/siora/"")",Chrome 148.0.7778.168,,,22-05-2026 10:43:01,22-05-2026 10:43:02,0.436s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:02,22-05-2026 10:43:07,5.065s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Login""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:07,22-05-2026 10:43:07,0.603s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:07,22-05-2026 10:43:12,5.007s,PASSED
"setText(findTestObject(""Login_OR/Page_SIORA/input_enter your email""), ""herykuswanto03@gmail.com"")",Chrome 148.0.7778.168,,,22-05-2026 10:43:12,22-05-2026 10:43:13,0.801s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:13,22-05-2026 10:43:18,5.009s,PASSED
"setEncryptedText(findTestObject(""Login_OR/Page_SIORA/input_""), ""qkk5RTyihrJfVaznnNKVlg=="")",Chrome 148.0.7778.168,,,22-05-2026 10:43:18,22-05-2026 10:43:19,0.391s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:19,22-05-2026 10:43:24,5.013s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Sign In""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:24,22-05-2026 10:43:24,0.352s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:24,22-05-2026 10:43:29,5.009s,PASSED
,,,,,,,
Test Cases/TC02 - Reservasi Domestic,Chrome 148.0.7778.168,,,22-05-2026 10:43:29,22-05-2026 10:44:51,1m - 22.262s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/img_Komodo Reservation""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:29,22-05-2026 10:43:30,0.337s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:30,22-05-2026 10:43:35,5.007s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/div_w-6 h-6 rounded-lg border-2 flex items-cente""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:35,22-05-2026 10:43:35,0.335s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:35,22-05-2026 10:43:40,5.014s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Next""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:40,22-05-2026 10:43:40,0.331s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:40,22-05-2026 10:43:45,5.020s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_inline-flex items-center justify-center g""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:45,22-05-2026 10:43:46,0.351s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:46,22-05-2026 10:43:51,5.008s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:51,22-05-2026 10:43:51,0.359s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:51,22-05-2026 10:43:56,5.021s,PASSED
